Date,Last Price,Volume,SMAVG (15)
11/26/2021,4594.62,532795040,539628096
11/24/2021,4701.46,518402720,545430208
11/23/2021,4690.7,562663104,548554688
11/22/2021,4682.94,634155776,547462272
11/19/2021,4697.96,679610368,539862656
11/18/2021,4704.54,552099200,541442880
11/17/2021,4688.67,507249312,540358976
11/16/2021,4700.9,495076544,543942592
11/15/2021,4682.8,488967488,544932864
11/12/2021,4682.85,471249408,545827392
11/11/2021,4649.27,424400832,545522624
11/10/2021,4646.71,540677632,549240000
11/9/2021,4685.25,535583104,544073600
11/8/2021,4701.7,540240256,536695904
11/5/2021,4697.53,611250944,534684000
11/4/2021,4680.06,619826048,537995456
11/3/2021,4660.57,565270400,531584576
11/2/2021,4630.65,546276608,528620288
11/1/2021,4613.67,520161984,527521024
10/29/2021,4605.38,703313408,521799040
10/28/2021,4596.42,535840864,504436672
10/27/2021,4551.68,561003648,502967616
10/26/2021,4574.79,509930528,502937472
10/25/2021,4566.48,502385568,505239168
10/22/2021,4544.9,466677472,518074560
10/21/2021,4549.78,480161216,526904320
10/20/2021,4536.19,463182016,542110592
10/19/2021,4519.63,424917824,545248896
10/18/2021,4486.46,510061344,560923904
10/15/2021,4471.37,660923200,562505472
10/14/2021,4438.26,523662592,548253888
10/13/2021,4363.8,520806016,546145088
10/12/2021,4350.65,529787808,547864896
10/11/2021,4361.19,434331968,547513920
10/8/2021,4391.34,442878208,566220288
10/7/2021,4399.76,513804704,657205760
10/6/2021,4363.55,560551488,658378688
10/5/2021,4345.72,544456128,661670016
10/4/2021,4300.46,694916544,660714944
10/1/2021,4357.04,599123712,650735616
9/30/2021,4307.54,708255680,643486400
9/29/2021,4359.46,510256064,627173248
9/28/2021,4352.63,660042752,624292992
9/27/2021,4443.11,533785376,612616512
9/24/2021,4455.48,447148832,604649920
9/23/2021,4448.98,492031296,605743168
9/22/2021,4395.64,546603328,604901120
9/21/2021,4354.19,524522432,616159808
9/20/2021,4357.73,714928192,608926400
9/17/2021,4432.99,1807659392,590086720
9/16/2021,4473.75,531399520,497442048
9/15/2021,4480.7,609921408,494805408
9/14/2021,4443.05,530129920,482936224
9/13/2021,4468.73,545226240,479261600
9/10/2021,4458.58,490385728,477934080
9/9/2021,4493.28,463557760,481439232
9/8/2021,4514.07,467052480,482659744
9/7/2021,4520.03,484895712,482949376
9/3/2021,4535.43,414286336,481484736
9/2/2021,4536.95,463547520,478920128
9/1/2021,4524.09,479401088,476314496
8/31/2021,4522.68,715483264,475988704
8/30/2021,4528.79,416021088,459159456
8/27/2021,4509.37,432333056,461147712
8/26/2021,4470,417989408,464030752
8/25/2021,4496.19,491850144,468763648
8/24/2021,4486.23,431883776,474451712
8/23/2021,4479.53,475010304,482838336
8/20/2021,4441.67,525313568,484843712
8/19/2021,4405.8,542963200,496808352
8/18/2021,4400.27,481865280,493394752
8/17/2021,4448.08,471396864,496847584
8/16/2021,4479.71,462926336,500855200
8/13/2021,4468,375816896,503173984
8/12/2021,4460.83,424463072,507714144
8/11/2021,4447.7,474514080,509946304
8/10/2021,4436.75,463044800,515566528
8/9/2021,4432.35,445844768,530886208
8/6/2021,4436.52,475578816,549476672
8/5/2021,4429.1,488983008,556926016
8/4/2021,4402.66,577170880,558640768
8/3/2021,4423.15,557683072,555280832
8/2/2021,4387.16,505090816,547915328
7/30/2021,4395.26,704783616,546289408
7/29/2021,4419.15,491758912,533827776
7/28/2021,4400.64,533657984,538516864
7/27/2021,4401.46,531510816,537521728
7/26/2021,4422.3,497708192,540743488
7/23/2021,4411.79,443919168,536482720
7/22/2021,4367.48,457945728,539638272
7/21/2021,4358.69,558817216,548223488
7/20/2021,4323.06,692840000,541920128
7/19/2021,4258.49,724701568,531362176
7/16/2021,4327.16,587319424,551104896
7/15/2021,4360.03,514704192,544543552
7/14/2021,4374.3,526771616,541996800
7/13/2021,4369.21,447201120,541422080
7/12/2021,4384.63,480701632,550649792
7/9/2021,4369.55,517859168,625457280
7/8/2021,4320.82,562095232,637107136
7/7/2021,4358.13,518731264,640181312
7/6/2021,4343.54,579836352,638667008
7/2/2021,4352.34,433797312,633518528
7/1/2021,4319.94,491252672,635695680
6/30/2021,4297.5,586723584,637219008
6/29/2021,4291.8,464266880,630789440
6/28/2021,4290.61,534470528,638644480
6/25/2021,4280.7,1020842112,634156032
6/24/2021,4266.49,488899264,597162048
6/23/2021,4241.84,476502784,601905792
6/22/2021,4246.44,518151264,606963648
6/21/2021,4224.79,585617088,609491712
6/18/2021,4166.45,1602813312,609317632
6/17/2021,4221.86,692607232,588776064
6/16/2021,4223.7,608208064,580292416
6/15/2021,4246.59,496016800,575506240
6/14/2021,4255.15,502609184,575184896
6/11/2021,4247.44,466454816,585781312
6/10/2021,4239.18,514102432,592703488
6/9/2021,4219.55,490279648,603078400
6/8/2021,4227.26,582092992,609232640
6/7/2021,4226.52,467143648,608543616
6/4/2021,4229.89,465931744,610847552
6/3/2021,4192.85,560056000,618080512
6/2/2021,4208.12,552370496,624260416
6/1/2021,4202.04,556072384,627530944
5/28/2021,4204.11,583005888,632319360
5/27/2021,4200.88,1294689920,629581568
5/26/2021,4195.99,565352448,583382400
5/25/2021,4188.13,536415456,583969664
5/24/2021,4197.05,491196288,591368512
5/21/2021,4155.86,661555904,596930240
5/20/2021,4159.12,570286976,602044608
5/19/2021,4115.68,669726656,604282048
5/18/2021,4127.83,582592448,596686016
5/17/2021,4163.29,571758336,592417408
5/14/2021,4173.85,501702752,589998912
5/13/2021,4112.5,574425408,591887296
5/12/2021,4063.04,652754688,592703040
5/11/2021,4152.1,601429056,586049280
5/10/2021,4188.43,627898368,582143104
5/7/2021,4232.6,541938368,576682816
5/6/2021,4201.62,601702912,585224256
